thumbnail_id,title,date,description,filename,map_size,extent,sector,longitude,latitude
A0001,Bhaktapur Bageshwari,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Bageshwari.pdf,369428,Bhaktapur,Atlas,null,null
A0002,Bhaktapur Balkot,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Balkot.pdf,376209,Bhaktapur,Atlas,null,null
A0003,Bhaktapur Bhaktapur Municipality,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Bhaktapur_Municipality.pdf,413085,Bhaktapur,Atlas,null,null
A0004,Bhaktapur Changunarayan,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Changunarayan.pdf,345459,Bhaktapur,Atlas,null,null
A0005,Bhaktapur Chhaling,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Chhaling.pdf,342081,Bhaktapur,Atlas,null,null
A0006,Bhaktapur Chitapol,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Chitapol.pdf,369176,Bhaktapur,Atlas,null,null
A0007,Bhaktapur Dadhikot,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Dadhikot.pdf,360964,Bhaktapur,Atlas,null,null
A0008,Bhaktapur Duwakot,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Duwakot.pdf,272768,Bhaktapur,Atlas,null,null
A0009,Bhaktapur Gundu,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Gundu.pdf,292625,Bhaktapur,Atlas,null,null
A0010,Bhaktapur Jhaukhel,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Jhaukhel.pdf,281021,Bhaktapur,Atlas,null,null
A0011,Bhaktapur Katunje,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Katunje.pdf,343379,Bhaktapur,Atlas,null,null
A0012,Bhaktapur Madhyapur Thimi Municipality,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Madhyapur_Thimi_Municipality.pdf,488337,Bhaktapur,Atlas,null,null
A0013,Bhaktapur Nagarkot,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Nagarkot.pdf,314333,Bhaktapur,Atlas,null,null
A0014,Bhaktapur Nangkhel,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Nangkhel.pdf,288529,Bhaktapur,Atlas,null,null
A0015,Bhaktapur Sipadol,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Sipadol.pdf,308646,Bhaktapur,Atlas,null,null
A0016,Bhaktapur Sirutar,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Sirutar.pdf,321299,Bhaktapur,Atlas,null,null
A0017,Bhaktapur Sudal,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Sudal.pdf,306936,Bhaktapur,Atlas,null,null
A0018,Bhaktapur Tathali,5/11/15, ,2015-05-08_Atlas_A3_Bhaktapur_Tathali.pdf,326246,Bhaktapur,Atlas,null,null
A0019,Dhading Aginchok,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Aginchok.pdf,213300,Dhading,Atlas,null,null
A0020,Dhading Baireni,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Baireni.pdf,327865,Dhading,Atlas,null,null
A0021,Dhading Baseri,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Baseri.pdf,195149,Dhading,Atlas,null,null
A0022,Dhading Benighat,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Benighat.pdf,211418,Dhading,Atlas,null,null
A0023,Dhading Bhumisthan,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Bhumisthan.pdf,292094,Dhading,Atlas,null,null
A0024,Dhading Budhathum,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Budhathum.pdf,224834,Dhading,Atlas,null,null
A0025,Dhading Chainpur,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Chainpur.pdf,279491,Dhading,Atlas,null,null
A0026,Dhading Chhatre Deurali,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Chhatre_Deurali.pdf,425578,Dhading,Atlas,null,null
A0027,Dhading Darkha,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Darkha.pdf,214769,Dhading,Atlas,null,null
A0028,Dhading Dhol,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Dhol.pdf,169985,Dhading,Atlas,null,null
A0029,Dhading Dhursa,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Dhursa.pdf,227884,Dhading,Atlas,null,null
A0030,Dhading Dhuwakot,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Dhuwakot.pdf,270711,Dhading,Atlas,null,null
A0031,Dhading Gajuri,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Gajuri.pdf,181798,Dhading,Atlas,null,null
A0032,Dhading Goganpani,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Goganpani.pdf,369829,Dhading,Atlas,null,null
A0033,Dhading Gumdi,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Gumdi.pdf,204692,Dhading,Atlas,null,null
A0034,Dhading Jharlang,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Jharlang.pdf,218389,Dhading,Atlas,null,null
A0035,Dhading Jiwanpur,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Jiwanpur.pdf,347291,Dhading,Atlas,null,null
A0036,Dhading Jogimara,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Jogimara.pdf,267457,Dhading,Atlas,null,null
A0037,Dhading Jyamruck,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Jyamruck.pdf,276627,Dhading,Atlas,null,null
A0038,Dhading Kalleri,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Kalleri.pdf,320806,Dhading,Atlas,null,null
A0039,Dhading Katunje,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Katunje.pdf,307105,Dhading,Atlas,null,null
A0040,Dhading Kebalpur,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Kebalpur.pdf,273703,Dhading,Atlas,null,null
A0041,Dhading Khalte,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Khalte.pdf,263237,Dhading,Atlas,null,null
A0042,Dhading Khari,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Khari.pdf,231605,Dhading,Atlas,null,null
A0043,Dhading Kiranchok,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Kiranchok.pdf,238134,Dhading,Atlas,null,null
A0044,Dhading Kumpur,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Kumpur.pdf,253639,Dhading,Atlas,null,null
A0045,Dhading Lapa,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Lapa.pdf,229917,Dhading,Atlas,null,null
A0046,Dhading Mahadevsthan,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Mahadevsthan.pdf,244975,Dhading,Atlas,null,null
A0047,Dhading Maidi,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Maidi.pdf,198660,Dhading,Atlas,null,null
A0048,Dhading Marpak,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Marpak.pdf,238996,Dhading,Atlas,null,null
A0049,Dhading Mulpani,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Mulpani.pdf,241960,Dhading,Atlas,null,null
A0050,Dhading Muralibhanjyang,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Muralibhanjyang.pdf,206544,Dhading,Atlas,null,null
A0051,Dhading Nalang,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Nalang.pdf,182382,Dhading,Atlas,null,null
A0052,Dhading Naubise,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Naubise.pdf,322293,Dhading,Atlas,null,null
A0053,Dhading Nilkanth,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Nilkanth.pdf,260585,Dhading,Atlas,null,null
A0054,Dhading Phulkharka,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Phulkharka.pdf,189221,Dhading,Atlas,null,null
A0055,Dhading Pida,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Pida.pdf,239874,Dhading,Atlas,null,null
A0056,Dhading Rigaun,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Rigaun.pdf,187291,Dhading,Atlas,null,null
A0057,Dhading Salang,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Salang.pdf,189029,Dhading,Atlas,null,null
A0058,Dhading Salyan Tar,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Salyan_Tar.pdf,259427,Dhading,Atlas,null,null
A0059,Dhading Salyankot,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Salyankot.pdf,213784,Dhading,Atlas,null,null
A0060,Dhading Sangkos,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Sangkos.pdf,225581,Dhading,Atlas,null,null
A0061,Dhading Satyadevi,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Satyadevi.pdf,249208,Dhading,Atlas,null,null
A0062,Dhading Semdhung,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Semdhung.pdf,283735,Dhading,Atlas,null,null
A0063,Dhading Sertung,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Sertung.pdf,237787,Dhading,Atlas,null,null
A0064,Dhading Sunaulabajar,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Sunaulabajar.pdf,241629,Dhading,Atlas,null,null
A0065,Dhading Tasarpu,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Tasarpu.pdf,282787,Dhading,Atlas,null,null
A0066,Dhading Thakre,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Thakre.pdf,271252,Dhading,Atlas,null,null
A0067,Dhading Tipling,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Tipling.pdf,220150,Dhading,Atlas,null,null
A0068,Dhading Tripura,5/11/15, ,2015-05-08_Atlas_A3_Dhading_Tripura.pdf,236633,Dhading,Atlas,null,null
A0069,Dolakha Alambu,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Alambu.pdf,169277,Dolakha,Atlas,null,null
A0070,Dolakha Babare,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Babare.pdf,211955,Dolakha,Atlas,null,null
A0071,Dolakha Bhedpu,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Bhedpu.pdf,245890,Dolakha,Atlas,null,null
A0072,Dolakha Bhimeswor Municipality,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Bhimeswor_Municipality.pdf,291485,Dolakha,Atlas,null,null
A0073,Dolakha Bhirkot,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Bhirkot.pdf,234370,Dolakha,Atlas,null,null
A0074,Dolakha Bhusaphedi,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Bhusaphedi.pdf,258898,Dolakha,Atlas,null,null
A0075,Dolakha Bigu,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Bigu.pdf,173992,Dolakha,Atlas,null,null
A0076,Dolakha Boch,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Boch.pdf,215540,Dolakha,Atlas,null,null
A0077,Dolakha Bulung,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Bulung.pdf,196796,Dolakha,Atlas,null,null
A0078,Dolakha Changkhu,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Changkhu.pdf,184906,Dolakha,Atlas,null,null
A0079,Dolakha Chhetrapa,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Chhetrapa.pdf,219969,Dolakha,Atlas,null,null
A0080,Dolakha Chilangkha,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Chilangkha.pdf,193555,Dolakha,Atlas,null,null
A0081,Dolakha Chyama,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Chyama.pdf,184968,Dolakha,Atlas,null,null
A0082,Dolakha Dandakharka,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Dandakharka.pdf,222827,Dolakha,Atlas,null,null
A0083,Dolakha Dodhapokhari,5/11/15, ,2015-05-08_Atlas_A3_Dolakha_Dodhapokhari.pdf,268068,Dolakha,Atlas,null,null
