source,thumbnail_id,title,date,description,filename,map_size,extent,sector,longitude,latitude,link
,T0001,Bagmati zone (archE) admin,4/25/2015,a description,NPL_Bagmati-zone_archE_plain_2015-04-25.pdf,7999275,Bagmati,Admin-boundaries,85.41280555,27.88272958,
,T0002,Bagmati zone (archE) terrain + admin,4/25/2015,a description,NPL_Bagmati-zone_archE_terrain_2015-04-25.pdf,9424025,Bagmati,Admin-boundaries,85.41280555,27.88272958,
,T0003,Gandaki zone (archE) admin,4/25/2015,a description,NPL_Gandaki-zone_archE_plain_2015-04-25.pdf,6680697,Gandaki,Admin-boundaries,84.35124906,28.31635687,
,T0004,Gandaki zone (archE) terrain + admin,4/25/2015,a description,NPL_Gandaki-zone_archE_terrain_2015-04-25.pdf,8941205,Gandaki,Admin-boundaries,84.35124906,28.31635687,
,T0005,Lumbini zone (archE) admin,4/25/2015,a description,NPL_Lumbini-zone_archE_plain_2015-04-25.pdf,8252562,Lumbini,Admin-boundaries,83.43697343,27.74986646,
,T0006,Lumbini zone (archE) terrain + admin,4/25/2015,a description,NPL_Lumbini-zone_archE_terrain_2015-04-25.pdf,9624370,Lumbini,Admin-boundaries,83.43697343,27.74986646,
,T0007,Narayani zone (archE) admin,4/25/2015,a description,NPL_Narayani-zone_archE_plain_2015-04-25.pdf,7611107,Narayani,Admin-boundaries,84.88563037,27.34962913,
,T0008,Narayani zone (archE) terrain + admin,4/25/2015,a description,NPL_Narayani-zone_archE_terrain_2015-04-25.pdf,8746834,Narayani,Admin-boundaries,84.88563037,27.34962913,
,T0009,"adm2- Dhaualagiri, ZonesDistricts",4/25/2015,a description,NPL_adm2_Dhaualagiri-ZonesDistricts_2015-04-25.pdf,717396,Dhaualagiri,Admin-boundaries,83.60261263,28.67086554,
,T0010,"adm2- Gandaki, ZonesDistricts",4/25/2015,a description,NPL_adm2_Gandaki-ZonesDistricts_2015-04-25.pdf,740701,Gandaki,Admin-boundaries,84.35124906,28.31635687,
,T0011,"adm2- Janakpur, ZonesDistricts",4/25/2015,a description,NPL_adm2_Janakpur-ZonesDistricts_2015-04-25.pdf,860493,Janakpur,Admin-boundaries,85.98992637,27.27527003,
